TF,Target,importance,correlation,p_value
ADIPOQ,ABCA9,0.8561997751322026,0.8561997751322026,1.0758226516612642e-58
ACTG1,AAAS,0.8549597177581233,0.8549597177581233,2.3594273195275208e-58
CD36,ABCA9,0.8548343700437595,0.8548343700437595,2.553321319099346e-58
ACSL1,ABCA10,0.8546371379794399,0.8546371379794399,2.890738291302816e-58
ALDOA,AADAC,0.8508526690471243,0.8508526690471243,3.0208337343703056e-57
AKR1C2,ABCB6,0.8506339455768166,0.8506339455768166,3.4527220047821396e-57
AKR1C2,AAMDC,0.8468980874567857,0.8468980874567857,3.275723326971403e-56
AGPAT2,ABCA10,0.8451997317957434,0.8451997317957434,8.931611439380547e-56
AKR1C2,ABC12-47964100C23.1,0.8438540228798423,0.8438540228798423,1.9606240469544955e-55
ADIPOQ,ABCA10,0.8438539851107217,0.8438539851107217,1.960667108014228e-55
ALDOA,AAAS,0.8419243412606848,0.8419243412606848,5.976412064320248e-55
CD36,ABCA10,0.8408833861343955,0.8408833861343955,1.083595468166904e-54
AKR1C2,AAMP,0.8365732905853559,0.8365732905853559,1.2173836543417756e-53
AHNAK,ABCA6,0.8340206525761948,0.8340206525761948,4.935217383397932e-53
ANXA2,ABCB8,0.8338966125366448,0.8338966125366448,5.2793591799371555e-53
ANXA2,AADAC,0.8330107894338347,0.8330107894338347,8.529933460678214e-53
ADH1B,ABCA9,0.8326100606863293,0.8326100606863293,1.0587762543357522e-52
AKR1C2,ABCC6,0.8257374484492122,0.8257374484492122,3.951905128586369e-51
AKR1C2,AATK-AS1,0.8253232295784512,0.8253232295784512,4.8903837037633345e-51
ANXA2,AAAS,0.8245526109766446,0.8245526109766446,7.258568033184104e-51
BTBD9,ABC7-42418200C9.1,0.8208232703143085,0.8208232703143085,4.776995758898054e-50
AKR1C2,AACS,0.8183482097014851,0.8183482097014851,1.628595599474799e-49
AKR1C2,ABCD2,0.8160829564713153,0.8160829564713153,4.923237048873458e-49
ACTG1,ABCB8,0.8145081909040652,0.8145081909040652,1.0528151903007988e-48
ACSL1,ABCC9,0.8095995938421298,0.8095995938421298,1.0750790108312464e-47
ADH1B,ABCA10,0.8085913243100505,0.8085913243100505,1.7182717051252597e-47
ACTB,AAR2,0.805333488561023,0.805333488561023,7.672452794330265e-47
AGPAT2,ABCC9,0.8032425360820572,0.8032425360820572,1.975044509252235e-46
CD36,ABCC9,0.8029137389368184,0.8029137389368184,2.289285604942586e-46
ADIPOQ,ABCC9,0.8024150218395891,0.8024150218395891,2.8624014190665922e-46
ALDOA,ABCB8,0.7995025331461354,0.7995025331461354,1.0420676339354174e-45
B2M,AACS,0.7975149154258746,0.7975149154258746,2.4864220632353433e-45
ACTB,AARS,0.7969110177682417,0.7969110177682417,3.232144382802632e-45
ANXA2,AAR2,0.7955963174539592,0.7955963174539592,5.70375539386519e-45
ACTB,AAAS,0.795531027298966,0.795531027298966,5.866293837438709e-45
ADH1B,ABCC9,0.790440464575644,0.790440464575644,5.085800347426569e-44
ADIRF,ABCA9,0.7899605211601982,0.7899605211601982,6.21511463996477e-44
ALDOA,ABCC6,0.7835597390021368,0.7835597390021368,8.581779296660922e-43
ALDOA,AAMDC,0.7827096106160869,0.7827096106160869,1.2080565758127651e-42
AKR1C2,ABCA8,0.7820701370257392,0.7820701370257392,1.560837011272895e-42
ACTG1,AARS,0.7807572995280341,0.7807572995280341,2.634030889328618e-42
ADIRF,AADACL4,0.7804694972208148,0.7804694972208148,2.952787852366668e-42
ACTG1,ABCC3,0.773993903171032,0.773993903171032,3.690078698305477e-41
AKR1C2,A2M,0.7700898816314015,0.7700898816314015,1.6249015214147982e-40
ALDOA,ABC12-47964100C23.1,0.7646567705088756,0.7646567705088756,1.2187008840231391e-39
ALDOA,AATK-AS1,0.764239362659811,0.764239362659811,1.4195422439245859e-39
ACTG1,AADACP1,0.7627154646535169,0.7627154646535169,2.4709400030831764e-39
ADIRF,ABCC9,0.7623694571957911,0.7623694571957911,2.8006910261886983e-39
B2M,AAMDC,0.7595355287028676,0.7595355287028676,7.751388934938077e-39
