TF,Target,Correlation
CD74,ABCA17P,0.036817414989441605
CD74,ABC13-48559800H2.2,-0.029020636258941458
CD74,AANAT,0.15115524524922533
CD74,ABC13-47488600E17.1,0.17153416978415534
CD74,AARS2,0.3293093502839981
CD74,ABCC9,0.2188253377615141
CD74,ABCC1,0.3443191455700215
CD74,AATF,0.5449695662986287
CD74,ABCB1,0.39318591877132203
CD74,AAMDC,0.27440624212716963
B2M,ABC14-864958H18.2,0.24505140040929782
B2M,ABCB7,0.6337360279538007
B2M,AAK1,0.3812202631239921
B2M,ABCD4,0.5264029773916356
B2M,ABC7-42391500H16.4,0.12065884468685495
B2M,ABC12-47964100C23.1,0.7433874026871848
B2M,AADAT,0.20291111598601713
B2M,AADACL3,0.32487000594648563
B2M,AB019441.29,0.2853806739101286
B2M,A2M,0.656606469854735
B2M,ABCB10P3,-0.024710071102575015
B2M,ABCA7,0.3735032969581765
B2M,AASS,0.06261599981081592
B2M,ABCB8,0.479374737965439
B2M,ABCC13,0.16614846351158988
B2M,AARS,0.4765636796305065
B2M,ABCA8,0.6668879408950962
B2M,ABCB4,0.28883965699306824
B2M,AASDH,0.507682342667295
B2M,A4GALT,0.6656082927405177
B2M,ABCB6,0.608600232380308
B2M,ABCC6P2,0.5331652783250705
B2M,ABCB10P1,0.025350795137868067
B2M,ABCB11,0.3562233947980785
B2M,ABCB10P4,-0.03042830174170843
B2M,ABCC11,0.3657969939145296
B2M,A1BG,0.2783028829683459
B2M,AAGAB,0.5923775404642779
B2M,AADACL4,0.5954795609890073
B2M,ABCB10,0.49184998017606857
B2M,AASDHPPT,0.5168429051642777
B2M,ABCD2,0.7270425871288043
B2M,ABCC5,0.3828544436546525
B2M,ABC13-48559800H2.1,0.18860175286001163
B2M,AAED1,0.3695125864320149
B2M,ABCA6,0.4281188344832142
B2M,ABCD3,0.5122202289316357
B2M,ABCD1,0.4170888232946975
B2M,AATK-AS1,0.733850412099366
B2M,ABC13-47656900H15.1,0.21340784884351033
B2M,ABCD1P5,0.0729610723294638
B2M,ABCA5,0.412449383242782
B2M,ABCA2,0.18842937210323377
B2M,ABCB9,0.21304242614392666
B2M,ABC7-42418200C9.1,0.0313661376419446
B2M,ABC7-42404400C24.1,0.09342684499349717
B2M,AARSD1,0.7025416591459798
B2M,ABCA10,0.6227023241735089
B2M,AADACP1,0.057762966419193054
B2M,AAR2,0.6718983741643539
B2M,A3GALT2,0.12749836817759475
B2M,AADAC,0.7148032675924773
B2M,ABCA3,0.18962428294834982
B2M,ABCA4,0.32272376707293776
B2M,A2MP1,0.5392317007070827
B2M,AAMP,0.6760893771097857
B2M,ABCA11P,0.4540011899183156
B2M,ABCA1,0.38031906109851615
B2M,ABCC3,0.10194037232176512
B2M,ABCC10,0.3779541416917337
B2M,ABCC2,0.031278142980979765
B2M,AAAS,0.4908551465721418
B2M,ABCA9,0.6334254384782929
B2M,AACS,0.7975149154258746
B2M,ABCC4,0.17204945093780075
B2M,ABC9-43961700F1.1,0.3705270184137458
B2M,ABCC6,0.6849045217585161
B2M,ABCC6P1,0.5269909470387262
