source,target,support_count,avg_score
ANXA2,AATK-AS1,2,0.6604051288845931
ANXA2,ABCA2,2,0.3661204287467368
ANXA2,ABCA1,3,0.43905189415797313
ANXA2,ABCB10,3,0.5086963628805589
ANXA2,ABC14-864958H18.2,3,0.36897427755830675
ANXA2,AARS2,3,0.5179291634310975
ANXA2,ABC13-47488600E17.1,3,0.4022545820236174
ANXA2,ABCC9,2,0.6159520279808017
ANXA2,AAED1,3,0.5252961336018312
ANXA2,AAMDC,3,0.708945738847988
ANXA2,AADACL4,2,0.4325873058856546
ANXA2,ABCA10,3,0.5607871541841263
ANXA2,ABCD2,2,0.661522272531085
ANXA2,ABCC6,3,0.6742634493908194
ANXA2,AANAT,3,0.38500852878906494
ANXA2,AADACP1,3,0.6047012646435245
ANXA2,AATF,3,0.6072637675956515
ANXA2,AAGAB,3,0.6344247550570886
ANXA2,ABCC6P1,2,0.5329736371668027
ANXA2,AADACL3,3,0.3336873905042546
ANXA2,A4GALT,3,0.6819611306023492
ANXA2,AADAT,3,0.5501865443189232
ANXA2,ABCD1,3,0.5189956870758745
ANXA2,ABCB11,3,0.36468727661404277
ANXA2,AAK1,3,0.5024480332833309
ANXA2,ABCC12,2,0.3816202346770914
ANXA2,AACS,3,0.7461515551125718
ANXA2,ABCA6,3,0.357606469538222
ANXA2,ABCC2,3,0.5947533579510144
ANXA2,AAAS,3,0.805755836255139
ANXA2,ABCC5,3,0.4863582159310737
ANXA2,AAMP,3,0.832173131774825
ANXA2,AARS,3,0.6683145187751435
ANXA2,A2MP1,2,0.5073427046243854
ANXA2,ABCC3,3,0.7046252520173365
ANXA2,ABCA9,2,0.6552293600466205
ANXA2,ABC7-42404400C24.1,2,0.6640225798132471
ANXA2,ABCD4,3,0.5933100945538329
ANXA2,ABCA3,3,0.35377243103889106
ANXA2,ABCA7,3,0.3977268202189297
ANXA2,AARSD1,3,0.8163350489099349
ANXA2,ABCA11P,3,0.4903735130612599
ANXA2,ABCA8,2,0.679289326516305
ANXA2,AAR2,3,0.7976731998074539
ANXA2,ABCC10,3,0.5877831917117832
ANXA2,AADAC,3,0.7246676396076864
ANXA2,ABCA4,3,0.4631920375694584
ANXA2,ABCC11,3,0.5383279262513633
ANXA2,ABCD3,3,0.601570449861284
ANXA2,ABC12-47964100C23.1,2,0.6771139075710215
ANXA2,AASDHPPT,3,0.5086508339846927
ANXA2,ABCB8,3,0.7676434071568745
ACTG1,ABC13-47488600E17.1,3,0.459147711173907
ACTG1,ABC13-48559800H2.2,2,0.3877024319050649
ACTG1,AAED1,3,0.5149505719621291
ACTG1,AADACP1,3,0.6327516611635655
ACTG1,AARSD1,3,0.7355087830800402
ACTG1,AATF,3,0.799865694656419
ACTG1,AAGAB,3,0.719680160098695
ACTG1,A4GALT,3,0.6427433504930399
ACTG1,AADAT,3,0.5826428642315481
ACTG1,AAK1,3,0.47272289651050364
ACTG1,ABCC11,3,0.5378121913062017
ACTG1,ABCC12,2,0.4949202635265223
ACTG1,ABCC2,3,0.6769673989785733
ACTG1,AAAS,3,0.8785958832000041
ACTG1,ABCC5,3,0.5434705086087535
ACTG1,AAMP,3,0.7810108205529604
ACTG1,AARS,3,0.7934789621659911
ACTG1,ABCC3,3,0.7210561983840625
ACTG1,ABC7-42404400C24.1,3,0.5895250544563291
ACTG1,ABCD4,3,0.5894161118750075
ACTG1,ABCA3,3,0.3664270584839691
ACTG1,ABCA7,3,0.5909171995775968
ACTG1,ABCA11P,3,0.447942657890291
ACTG1,AAR2,3,0.8079556922097436
ACTG1,ABCC10,3,0.7287057804423945
ACTG1,AADAC,3,0.35503822151930753
ACTG1,ABCA4,3,0.3775220187035761
ACTG1,ABCD3,3,0.5764951746106719
ACTG1,AASDHPPT,3,0.6393086568143386
ACTG1,ABC13-48559800H2.1,3,0.5913429633334597
ACTG1,ABCB8,3,0.8087164139027143
ACTG1,AB019441.29,3,0.480445398413553
ACTG1,AASDH,3,0.5574233080797518
ACTG1,AANAT,3,0.4968382225007055
ACTG1,ABCB7,3,0.6489990025179376
ACTG1,ABCB10P1,2,0.6726279873843968
ACTG1,ABCC6P2,3,0.3815116897909963
ACTG1,ABCB9,3,0.6766820614331032
ACTG1,ABC13-47656900H15.1,3,0.4887302190707725
ACTG1,ABCC1,3,0.788374701589985
ACTG1,ABCB6,3,0.6717877478871236
ACTG1,ABCB10,3,0.6373937077489727
ACTG1,AACS,3,0.5289905511537683
ACTG1,AARS2,3,0.6752208833676118
ALDOA,ABCB6,3,0.8575816458801319
ALDOA,AATK-AS1,2,0.764239362659811
ALDOA,A4GALT,3,0.7097585052679465
ALDOA,AADAT,3,0.5284669743339232
ALDOA,ABCD1,3,0.5996645036362916
ALDOA,ABCB11,3,0.4047037175728705
ALDOA,AAK1,3,0.4660247082245967
ALDOA,AACS,3,0.8417346814893621
ALDOA,ABCA6,3,0.3501750032828195
ALDOA,AAAS,3,0.8496104052367958
ALDOA,ABCC5,3,0.5936383781002442
ALDOA,AARS2,3,0.6214184314696799
ALDOA,AAMP,3,0.9244473359890112
ALDOA,ABCC9,2,0.6492464508588179
ALDOA,AARS,3,0.7274786282657503
ALDOA,ABCD2,2,0.7586478323896759
ALDOA,A2MP1,3,0.522926023985434
ALDOA,ABCC3,3,0.48535969214911107
ALDOA,ABCA9,3,0.5534403862981687
ALDOA,ABC7-42404400C24.1,3,0.45911390165168137
ALDOA,ABCA3,3,0.46959953527026527
ALDOA,ABCA7,3,0.5791527807986032
ALDOA,AADACP1,2,0.427575732864066
ALDOA,AARSD1,3,0.8993904134205825
ALDOA,ABCA11P,3,0.5732793743408773
ALDOA,AAR2,3,0.8873369791496682
ALDOA,AADAC,3,0.6994268160968048
ALDOA,ABCA4,3,0.4737913625521591
ALDOA,ABCC11,3,0.5154439512487634
ALDOA,ABC12-47964100C23.1,2,0.7646567705088756
ALDOA,ABC13-48559800H2.1,3,0.47854987986899017
ALDOA,ABCC2,3,0.44549233122253024
ALDOA,ABCB8,3,0.7955113293873847
ALDOA,AB019441.29,3,0.3721304687764122
ALDOA,A2M,2,0.7127891051625657
ALDOA,AASDH,3,0.5764232207941025
ALDOA,ABCB10P1,2,0.3283088847486808
ALDOA,ABCD4,3,0.7055229643493406
ALDOA,ABCC6P2,3,0.6210419653060902
ALDOA,ABCB9,3,0.5128824197572119
ALDOA,ABCB1,3,0.4966430568379447
ALDOA,ABCC1,3,0.6363257728867243
ALDOA,ABCA8,2,0.7296476640830798
ALDOA,ABCA2,3,0.4211598537319641
ALDOA,ABCC10,3,0.6258789293744299
ALDOA,ABCA1,3,0.41338869645220305
ALDOA,ABCB10,3,0.6522077659921203
ALDOA,ABCD3,3,0.6624048413312337
ALDOA,AASDHPPT,3,0.623670890331973
ALDOA,AAED1,3,0.475862733554765
ALDOA,AAMDC,3,0.771848910575701
ALDOA,AADACL4,2,0.5100315527839393
ALDOA,ABCA10,3,0.6311845559574146
ALDOA,ABCC6,3,0.7255979799373443
ALDOA,AANAT,3,0.4145707989494916
ALDOA,ABCB7,3,0.7504103963174851
ALDOA,AATF,3,0.7238606510674067
ALDOA,AAGAB,3,0.7382070215221567
ALDOA,ABCC6P1,3,0.5414078072911572
AKR1C2,ABCC6,3,0.7205486463514262
AKR1C2,AANAT,3,0.33911490414447587
AKR1C2,ABCB7,3,0.4671770804738282
AKR1C2,AATF,3,0.3809676530897359
AKR1C2,AAGAB,3,0.44940076552531155
AKR1C2,ABCC6P1,3,0.5837277782243507
AKR1C2,ABCB6,3,0.7629173124836051
AKR1C2,AATK-AS1,2,0.8253232295784512
AKR1C2,A4GALT,3,0.5571888350897171
AKR1C2,AADAT,3,0.44926016274098995
AKR1C2,ABCD1,3,0.40706742333860796
AKR1C2,ABCB11,3,0.3539480551202924
AKR1C2,AAK1,3,0.33984917179193247
AKR1C2,ABCC12,2,0.31705405280628907
AKR1C2,AACS,3,0.7020364876685651
AKR1C2,AAAS,3,0.6489403508087567
AKR1C2,ABCC5,3,0.4140426054888158
AKR1C2,AAMP,3,0.6807945621130366
AKR1C2,ABCC9,3,0.5849025292793045
AKR1C2,AARS,3,0.5028976096940593
AKR1C2,ABCD2,3,0.6540377657470157
AKR1C2,A2MP1,3,0.5490847067726675
AKR1C2,ABCC3,3,0.6009695095796337
AKR1C2,ABCA9,3,0.5847928787206997
AKR1C2,ABC7-42404400C24.1,3,0.5071547659192085
AKR1C2,ABCA3,3,0.3837030129781964
AKR1C2,AADACP1,3,0.47577887787959955
AKR1C2,AARSD1,3,0.7007176846540094
AKR1C2,ABCA11P,3,0.37907353663198284
AKR1C2,AAR2,3,0.6054159863718883
